url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF,14,5
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/MSBNK-AAFC-AC000001-oka.ttl,12,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/ogawa,11,4
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,8,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/model.yaml,5,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/steffen,4,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/steffen/MSBNK-CASMI_2016-SM827751.ttl,3,1
/systemsomicslab/MassBank-RDF/edit/main/draft_ttl/ogawa/MSBNK-AAFC-AC000001-oka.ttl,3,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,2,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/Draft_RIKEN_IMS.ttl,1,1
