url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/tree/main/scripts,20,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,17,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka,16,4
/systemsomicslab/MassBank-RDF,15,4
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/kawashima,8,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/Draft_RIKEN_IMS.ttl,6,3
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000001.ttl,6,2
/systemsomicslab/MassBank-RDF/blob/main/README.md,6,1
/systemsomicslab/MassBank-RDF/blob/main/scripts/SPARQLWrapper4privateVirtuoso.ipynb,4,1
/systemsomicslab/MassBank-RDF/blame/main/README.md,2,1
