url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,33,14
/systemsomicslab/MassBank-RDF,23,6
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,22,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,20,4
/systemsomicslab/MassBank-RDF/tree/main,12,6
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/rdf-config/model.yaml,12,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida/rdf-config,11,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida/IPB_Halle,6,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/rdf-config/prefix.yaml,5,1
/systemsomicslab/MassBank-RDF/upload,5,1
