url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,27,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka,20,4
/systemsomicslab/MassBank-RDF/tree/main/scripts,20,3
/systemsomicslab/MassBank-RDF,19,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/kawashima,8,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,8,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/Draft_RIKEN_IMS.ttl,6,3
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000001.ttl,6,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/massbankjson2ttl.ttl.gz,6,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_CM.ttl,4,1
