url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF,27,9
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/MassBank_RDF_ttl,19,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,17,1
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/ogawa,9,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/MassBank_RDF_ttl/CC0,8,2
/systemsomicslab/MassBank-RDF/tree/main,7,1
/systemsomicslab/MassBank-RDF/blob/github-repo-stats/systemsomicslab/MassBank-RDF/ghrs-data/views_clones_aggregate.csv,6,2
/systemsomicslab/MassBank-RDF/tree/github-repo-stats/systemsomicslab/MassBank-RDF,5,3
/systemsomicslab/MassBank-RDF/tree/github-repo-stats/systemsomicslab/MassBank-RDF/latest-report,5,3
/systemsomicslab/MassBank-RDF/tree/github-repo-stats/systemsomicslab/MassBank-RDF/ghrs-data,5,2
