url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/MSBNK-AAFC-AC000001-oka.ttl,12,2
/systemsomicslab/MassBank-RDF,10,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/ogawa,6,2
/systemsomicslab/MassBank-RDF/edit/main/draft_ttl/ogawa/MSBNK-AAFC-AC000001-oka.ttl,5,1
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,4,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/steffen/MSBNK-CASMI_2016-SM827751.ttl,3,1
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/steffen,3,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/Draft_RIKEN_IMS.ttl,2,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,2,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka,2,2
