url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/model.yaml,73,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,67,10
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/ogawa,59,12
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/kawashima,29,5
/systemsomicslab/MassBank-RDF,27,8
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/MSBNK-AAFC-AC000001-oka.ttl,26,6
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000001.ttl,24,5
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/schema.svg,20,7
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,17,5
/systemsomicslab/MassBank-RDF/edit/main/draft_ttl/ogawa/model.yaml,16,1
