url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF,14,7
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,12,9
/systemsomicslab/MassBank-RDF/blob/main/rdf-config/schema.svg,3,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida/rdf-config,3,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,3,2
/systemsomicslab/MassBank-RDF/tree/main/.github/workflows,3,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,2,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka,2,2
/systemsomicslab/MassBank-RDF/tree/main/script,2,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-RIKEN-PR010017.ttl,2,1
