url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/blob/main/rdf-config/model.yaml,19,2
/systemsomicslab/MassBank-RDF/tree/main/rdf-config,17,2
/systemsomicslab/MassBank-RDF,11,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,8,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/rdf-config/model.yaml,6,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka,6,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka/rdf-config,6,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,5,4
/systemsomicslab/MassBank-RDF/blob/main/rdf-config/prefix.yaml,5,2
/systemsomicslab/MassBank-RDF/tree/main,5,2
