url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,24,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/kawashima,19,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000001.ttl,14,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000002.ttl,11,2
/systemsomicslab/MassBank-RDF,5,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/MSBNK-RIKEN-PR010017.ttl,4,1
/systemsomicslab/MassBank-RDF/blob/main/scripts/get_classyfire_json.py,4,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000007.ttl,2,1
/systemsomicslab/MassBank-RDF/new/main/draft_ttl,2,1
/systemsomicslab/MassBank-RDF/tree/main/jsonld2ttl,2,1
