time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,3,3,0,0
2026-06-04 00:00:00+00:00,14,5,0,0
2026-06-05 00:00:00+00:00,5,5,0,0
2026-06-06 00:00:00+00:00,11,6,2,2
2026-06-07 00:00:00+00:00,12,3,0,0
2026-06-08 00:00:00+00:00,21,8,1,1
2026-06-09 00:00:00+00:00,2,2,0,0
2026-06-10 00:00:00+00:00,9,5,0,0
2026-06-11 00:00:00+00:00,15,6,0,0
2026-06-12 00:00:00+00:00,29,11,1,1
2026-06-13 00:00:00+00:00,14,5,0,0
2026-06-14 00:00:00+00:00,18,4,0,0
2026-06-15 00:00:00+00:00,19,6,2,2
2026-06-16 00:00:00+00:00,12,4,0,0
